YGL040C	YGR267C	2 H(2)O
YGL040C	YHR051W	2 H(2)O
YGL040C	YIL111W	2 H(2)O
YGL040C	YIR037W	2 H(2)O
YGL040C	YKL026C	2 H(2)O
YGL040C	YKR066C	2 H(2)O
YGL040C	YLR038C	2 H(2)O
YGL040C	YLR395C	2 H(2)O
YGL040C	YMR256W	2 H(2)O
YGL040C	YNL052W	2 H(2)O
YGL055W	YGL187C	2 H(2)O
YGL055W	YGL191W	2 H(2)O
YGL055W	YGR088W	2 H(2)O
YGL055W	YGR267C	2 H(2)O
YGL055W	YHR051W	2 H(2)O
YGL055W	YIL111W	2 H(2)O
YGL055W	YIR037W	2 H(2)O
YGL055W	YKL026C	2 H(2)O
YGL055W	YKR066C	2 H(2)O
YGL055W	YLR038C	2 H(2)O
YGL055W	YLR395C	2 H(2)O
YGL055W	YMR256W	2 H(2)O
YGL055W	YNL052W	2 H(2)O
YGL187C	YGL191W	2 H(2)O
YGL187C	YGR088W	2 H(2)O
YGL187C	YGR267C	2 H(2)O
YGL187C	YHR051W	2 H(2)O
YGL187C	YIL111W	2 H(2)O
YGL187C	YIR037W	2 H(2)O
YGL187C	YKL026C	2 H(2)O
YGL187C	YKR066C	2 H(2)O
YGL187C	YLR038C	2 H(2)O
YGL187C	YLR395C	2 H(2)O
YGL187C	YMR256W	2 H(2)O
YGL187C	YNL052W	2 H(2)O
YGL191W	YGR088W	2 H(2)O
YGL191W	YGR267C	2 H(2)O
YGL191W	YHR051W	2 H(2)O
YGL191W	YIL111W	2 H(2)O
YGL191W	YIR037W	2 H(2)O
YGL191W	YKL026C	2 H(2)O
YGL191W	YKR066C	2 H(2)O
YGL191W	YLR038C	2 H(2)O
YGL191W	YLR395C	2 H(2)O
YGL191W	YMR256W	2 H(2)O
YGL191W	YNL052W	2 H(2)O
YGR088W	YGR267C	2 H(2)O
YGR088W	YHR051W	2 H(2)O
YGR088W	YIL111W	2 H(2)O
YGR088W	YIR037W	2 H(2)O
YGR088W	YKL026C	2 H(2)O
YGR088W	YKR066C	2 H(2)O
YGR088W	YLR038C	2 H(2)O
YGR088W	YLR395C	2 H(2)O
YGR088W	YMR256W	2 H(2)O
YGR088W	YNL052W	2 H(2)O
YGR267C	YHR051W	2 H(2)O
YGR267C	YIL111W	2 H(2)O
YGR267C	YIR037W	2 H(2)O
YGR267C	YKL026C	2 H(2)O
YGR267C	YKR066C	2 H(2)O
YGR267C	YLR038C	2 H(2)O
YGR267C	YLR395C	2 H(2)O
YGR267C	YMR256W	2 H(2)O
YGR267C	YNL052W	2 H(2)O
YHR051W	YIL111W	2 H(2)O
YHR051W	YIR037W	2 H(2)O
YHR051W	YKL026C	2 H(2)O
YHR051W	YKR066C	2 H(2)O
YHR051W	YLR038C	2 H(2)O
YHR051W	YLR395C	2 H(2)O
YHR051W	YMR256W	2 H(2)O
YHR051W	YNL052W	2 H(2)O
YIL111W	YIR037W	2 H(2)O
YIL111W	YKL026C	2 H(2)O
YIL111W	YKR066C	2 H(2)O
YIL111W	YLR038C	2 H(2)O
YIL111W	YLR395C	2 H(2)O
YIL111W	YMR256W	2 H(2)O
YIL111W	YNL052W	2 H(2)O
YIR037W	YKL026C	2 H(2)O
YIR037W	YKR066C	2 H(2)O
YIR037W	YLR038C	2 H(2)O
YIR037W	YLR395C	2 H(2)O
YIR037W	YMR256W	2 H(2)O
YIR037W	YNL052W	2 H(2)O
YKL026C	YKR066C	2 H(2)O
YKL026C	YLR038C	2 H(2)O
YKL026C	YLR395C	2 H(2)O
YKL026C	YMR256W	2 H(2)O
YKL026C	YNL052W	2 H(2)O
YKR066C	YLR038C	2 H(2)O
YKR066C	YLR395C	2 H(2)O
YKR066C	YMR256W	2 H(2)O
YKR066C	YNL052W	2 H(2)O
YLR038C	YLR395C	2 H(2)O
YLR038C	YMR256W	2 H(2)O
YLR038C	YNL052W	2 H(2)O
YLR395C	YMR256W	2 H(2)O
YLR395C	YNL052W	2 H(2)O
YMR256W	YNL052W	2 H(2)O
YDR256C	YGR088W	2 H(2)O(2)
YLR450W	YML075C	2 NADP(+)
YLR450W	YML075C	2 NADPH
YIL043C	YKL150W	2 ferricytochrome b5
YBL045C	YDL174C	2 ferricytochrome c
YBL045C	YDR529C	2 ferricytochrome c
YBL045C	YEL024W	2 ferricytochrome c
YBL045C	YEL071W	2 ferricytochrome c
YBL045C	YFR033C	2 ferricytochrome c
YBL045C	YGR183C	2 ferricytochrome c
YBL045C	YJL166W	2 ferricytochrome c
YBL045C	YKR066C	2 ferricytochrome c
YBL045C	YML054C	2 ferricytochrome c
YBL045C	YPR191W	2 ferricytochrome c
YDL174C	YDR529C	2 ferricytochrome c
YDL174C	YEL024W	2 ferricytochrome c
YDL174C	YEL071W	2 ferricytochrome c
YDL174C	YFR033C	2 ferricytochrome c
YDL174C	YGR183C	2 ferricytochrome c
YDL174C	YJL166W	2 ferricytochrome c
YDL174C	YKR066C	2 ferricytochrome c
YDL174C	YML054C	2 ferricytochrome c
YDL174C	YPR191W	2 ferricytochrome c
YDR529C	YEL024W	2 ferricytochrome c
YDR529C	YEL071W	2 ferricytochrome c
YDR529C	YFR033C	2 ferricytochrome c
YDR529C	YGR183C	2 ferricytochrome c
YDR529C	YJL166W	2 ferricytochrome c
YDR529C	YKR066C	2 ferricytochrome c
YDR529C	YML054C	2 ferricytochrome c
YDR529C	YPR191W	2 ferricytochrome c
YEL024W	YEL071W	2 ferricytochrome c
YEL024W	YFR033C	2 ferricytochrome c
YEL024W	YGR183C	2 ferricytochrome c
YEL024W	YJL166W	2 ferricytochrome c
YEL024W	YKR066C	2 ferricytochrome c
YEL024W	YML054C	2 ferricytochrome c
YEL024W	YPR191W	2 ferricytochrome c
YEL071W	YFR033C	2 ferricytochrome c
YEL071W	YGR183C	2 ferricytochrome c
YEL071W	YJL166W	2 ferricytochrome c
YEL071W	YKR066C	2 ferricytochrome c
YEL071W	YML054C	2 ferricytochrome c
YEL071W	YPR191W	2 ferricytochrome c
YFR033C	YGR183C	2 ferricytochrome c
YFR033C	YJL166W	2 ferricytochrome c
YFR033C	YKR066C	2 ferricytochrome c
YFR033C	YML054C	2 ferricytochrome c
YFR033C	YPR191W	2 ferricytochrome c
YGR183C	YJL166W	2 ferricytochrome c
YGR183C	YKR066C	2 ferricytochrome c
YGR183C	YML054C	2 ferricytochrome c
YGR183C	YPR191W	2 ferricytochrome c
YJL166W	YKR066C	2 ferricytochrome c
YJL166W	YML054C	2 ferricytochrome c
YJL166W	YPR191W	2 ferricytochrome c
YKR066C	YML054C	2 ferricytochrome c
YKR066C	YPR191W	2 ferricytochrome c
YML054C	YPR191W	2 ferricytochrome c
YIL043C	YKL150W	2 ferrocytochrome b5
YBL045C	YDL174C	2 ferrocytochrome c
YBL045C	YDR529C	2 ferrocytochrome c
YBL045C	YEL024W	2 ferrocytochrome c
YBL045C	YEL071W	2 ferrocytochrome c
YBL045C	YFR033C	2 ferrocytochrome c
YBL045C	YGR183C	2 ferrocytochrome c
YBL045C	YJL166W	2 ferrocytochrome c
YBL045C	YKR066C	2 ferrocytochrome c
YBL045C	YML054C	2 ferrocytochrome c
YBL045C	YPR191W	2 ferrocytochrome c
YDL174C	YDR529C	2 ferrocytochrome c
YDL174C	YEL024W	2 ferrocytochrome c
YDL174C	YEL071W	2 ferrocytochrome c
YDL174C	YFR033C	2 ferrocytochrome c
YDL174C	YGR183C	2 ferrocytochrome c
YDL174C	YJL166W	2 ferrocytochrome c
YDL174C	YKR066C	2 ferrocytochrome c
YDL174C	YML054C	2 ferrocytochrome c
YDL174C	YPR191W	2 ferrocytochrome c
YDR529C	YEL024W	2 ferrocytochrome c
YDR529C	YEL071W	2 ferrocytochrome c
YDR529C	YFR033C	2 ferrocytochrome c
YDR529C	YGR183C	2 ferrocytochrome c
YDR529C	YJL166W	2 ferrocytochrome c
YDR529C	YKR066C	2 ferrocytochrome c
YDR529C	YML054C	2 ferrocytochrome c
YDR529C	YPR191W	2 ferrocytochrome c
YEL024W	YEL071W	2 ferrocytochrome c
YEL024W	YFR033C	2 ferrocytochrome c
YEL024W	YGR183C	2 ferrocytochrome c
YEL024W	YJL166W	2 ferrocytochrome c
YEL024W	YKR066C	2 ferrocytochrome c
YEL024W	YML054C	2 ferrocytochrome c
YEL024W	YPR191W	2 ferrocytochrome c
YEL071W	YFR033C	2 ferrocytochrome c
YEL071W	YGR183C	2 ferrocytochrome c
YEL071W	YJL166W	2 ferrocytochrome c
YEL071W	YKR066C	2 ferrocytochrome c
YEL071W	YML054C	2 ferrocytochrome c
YEL071W	YPR191W	2 ferrocytochrome c
YFR033C	YGR183C	2 ferrocytochrome c
YFR033C	YJL166W	2 ferrocytochrome c
YFR033C	YKR066C	2 ferrocytochrome c
YFR033C	YML054C	2 ferrocytochrome c
YFR033C	YPR191W	2 ferrocytochrome c
YGR183C	YJL166W	2 ferrocytochrome c
YGR183C	YKR066C	2 ferrocytochrome c
YGR183C	YML054C	2 ferrocytochrome c
YGR183C	YPR191W	2 ferrocytochrome c
YJL166W	YKR066C	2 ferrocytochrome c
YJL166W	YML054C	2 ferrocytochrome c
YJL166W	YPR191W	2 ferrocytochrome c
YKR066C	YML054C	2 ferrocytochrome c
YKR066C	YPR191W	2 ferrocytochrome c
YML054C	YPR191W	2 ferrocytochrome c
YBR244W	YIR037W	2 glutathione
YBR244W	YKL026C	2 glutathione
YBR244W	YPL091W	2 glutathione
YIR037W	YKL026C	2 glutathione
YIR037W	YPL091W	2 glutathione
YKL026C	YPL091W	2 glutathione
YBR011C	YER005W	2 phosphate
YBR011C	YMR267W	2 phosphate
YER005W	YMR267W	2 phosphate
YCL009C	YMR108W	2 pyruvate
YHR008C	YJR104C	2 superoxide
YER070W	YGR180C	2'-deoxyribonucleoside diphosphate
YER070W	YIL066C	2'-deoxyribonucleoside diphosphate
YER070W	YJL026W	2'-deoxyribonucleoside diphosphate
YGR180C	YIL066C	2'-deoxyribonucleoside diphosphate
YGR180C	YJL026W	2'-deoxyribonucleoside diphosphate
YIL066C	YJL026W	2'-deoxyribonucleoside diphosphate
YDL021W	YKL152C	2,3-diphosphoglycerate
YDL021W	YOL056W	2,3-diphosphoglycerate
YKL152C	YOL056W	2,3-diphosphoglycerate
YCL009C	YMR108W	2-acetolactate
YBR176W	YHR063C	2-dehydropantoate
YHR043C	YHR044C	2-deoxy-D-glucose
YHR043C	YHR044C	2-deoxy-D-glucose 6-phosphate
YDL131W	YDL182W	2-hydroxybutane-1,2,4-tricarboxylate
YDL131W	YDR234W	2-hydroxybutane-1,2,4-tricarboxylate
YDL182W	YDR234W	2-hydroxybutane-1,2,4-tricarboxylate
YMR006C	YMR008C	2-lysophosphatidylcholine
YMR006C	YOL011W	2-lysophosphatidylcholine
YMR008C	YOL011W	2-lysophosphatidylcholine
YAL012W	YER086W	2-oxobutanoate
YAL062W	YDL066W	2-oxoglutarate
YAL062W	YDL131W	2-oxoglutarate
YAL062W	YDL171C	2-oxoglutarate
YAL062W	YDL182W	2-oxoglutarate
YAL062W	YDL215C	2-oxoglutarate
YAL062W	YDR111C	2-oxoglutarate
YAL062W	YGR019W	2-oxoglutarate
YAL062W	YHR208W	2-oxoglutarate
YAL062W	YIL116W	2-oxoglutarate
YAL062W	YIL125W	2-oxoglutarate
YAL062W	YIR034C	2-oxoglutarate
YAL062W	YJR148W	2-oxoglutarate
YAL062W	YKL106W	2-oxoglutarate
YAL062W	YLR027C	2-oxoglutarate
YAL062W	YLR089C	2-oxoglutarate
YAL062W	YLR174W	2-oxoglutarate
YAL062W	YNL009W	2-oxoglutarate
YAL062W	YNL037C	2-oxoglutarate
YAL062W	YOL140W	2-oxoglutarate
YAL062W	YOR136W	2-oxoglutarate
YAL062W	YOR184W	2-oxoglutarate
YAL062W	YOR375C	2-oxoglutarate
YDL066W	YDL131W	2-oxoglutarate
YDL066W	YDL171C	2-oxoglutarate
YDL066W	YDL182W	2-oxoglutarate
YDL066W	YDL215C	2-oxoglutarate
YDL066W	YDR111C	2-oxoglutarate
YDL066W	YGR019W	2-oxoglutarate
YDL066W	YHR208W	2-oxoglutarate
YDL066W	YIL116W	2-oxoglutarate
YDL066W	YIL125W	2-oxoglutarate
YDL066W	YIR034C	2-oxoglutarate
YDL066W	YJR148W	2-oxoglutarate
YDL066W	YKL106W	2-oxoglutarate
YDL066W	YLR027C	2-oxoglutarate
YDL066W	YLR089C	2-oxoglutarate
YDL066W	YLR174W	2-oxoglutarate
YDL066W	YNL009W	2-oxoglutarate
YDL066W	YNL037C	2-oxoglutarate
YDL066W	YOL140W	2-oxoglutarate
YDL066W	YOR136W	2-oxoglutarate
YDL066W	YOR184W	2-oxoglutarate
YDL066W	YOR375C	2-oxoglutarate
YDL131W	YDL171C	2-oxoglutarate
YDL131W	YDL182W	2-oxoglutarate
YDL131W	YDL215C	2-oxoglutarate
YDL131W	YDR111C	2-oxoglutarate
YDL131W	YGR019W	2-oxoglutarate
YDL131W	YHR208W	2-oxoglutarate
YDL131W	YIL116W	2-oxoglutarate
YDL131W	YIL125W	2-oxoglutarate
YDL131W	YIR034C	2-oxoglutarate
YDL131W	YJR148W	2-oxoglutarate
YDL131W	YKL106W	2-oxoglutarate
YDL131W	YLR027C	2-oxoglutarate
YDL131W	YLR089C	2-oxoglutarate
YDL131W	YLR174W	2-oxoglutarate
YDL131W	YNL009W	2-oxoglutarate
YDL131W	YNL037C	2-oxoglutarate
YDL131W	YOL140W	2-oxoglutarate
YDL131W	YOR136W	2-oxoglutarate
YDL131W	YOR184W	2-oxoglutarate
YDL131W	YOR375C	2-oxoglutarate
YDL171C	YDL182W	2-oxoglutarate
YDL171C	YDL215C	2-oxoglutarate
YDL171C	YDR111C	2-oxoglutarate
YDL171C	YGR019W	2-oxoglutarate
YDL171C	YHR208W	2-oxoglutarate
YDL171C	YIL116W	2-oxoglutarate
YDL171C	YIL125W	2-oxoglutarate
YDL171C	YIR034C	2-oxoglutarate
YDL171C	YJR148W	2-oxoglutarate
YDL171C	YKL106W	2-oxoglutarate
YDL171C	YLR027C	2-oxoglutarate
YDL171C	YLR089C	2-oxoglutarate
YDL171C	YLR174W	2-oxoglutarate
YDL171C	YNL009W	2-oxoglutarate
YDL171C	YNL037C	2-oxoglutarate
YDL171C	YOL140W	2-oxoglutarate
YDL171C	YOR136W	2-oxoglutarate
YDL171C	YOR184W	2-oxoglutarate
YDL171C	YOR375C	2-oxoglutarate
YDL182W	YDL215C	2-oxoglutarate
YDL182W	YDR111C	2-oxoglutarate
YDL182W	YGR019W	2-oxoglutarate
YDL182W	YHR208W	2-oxoglutarate
YDL182W	YIL116W	2-oxoglutarate
YDL182W	YIL125W	2-oxoglutarate
YDL182W	YIR034C	2-oxoglutarate
YDL182W	YJR148W	2-oxoglutarate
YDL182W	YKL106W	2-oxoglutarate
YDL182W	YLR027C	2-oxoglutarate
YDL182W	YLR089C	2-oxoglutarate
YDL182W	YLR174W	2-oxoglutarate
YDL182W	YNL009W	2-oxoglutarate
YDL182W	YNL037C	2-oxoglutarate
YDL182W	YOL140W	2-oxoglutarate
YDL182W	YOR136W	2-oxoglutarate
YDL182W	YOR184W	2-oxoglutarate
YDL182W	YOR375C	2-oxoglutarate
YDL215C	YDR111C	2-oxoglutarate
YDL215C	YGR019W	2-oxoglutarate
YDL215C	YHR208W	2-oxoglutarate
YDL215C	YIL116W	2-oxoglutarate
YDL215C	YIL125W	2-oxoglutarate
YDL215C	YIR034C	2-oxoglutarate
YDL215C	YJR148W	2-oxoglutarate
YDL215C	YKL106W	2-oxoglutarate
YDL215C	YLR027C	2-oxoglutarate
YDL215C	YLR089C	2-oxoglutarate
YDL215C	YLR174W	2-oxoglutarate
YDL215C	YNL009W	2-oxoglutarate
YDL215C	YNL037C	2-oxoglutarate
YDL215C	YOL140W	2-oxoglutarate
YDL215C	YOR136W	2-oxoglutarate
YDL215C	YOR184W	2-oxoglutarate
YDL215C	YOR375C	2-oxoglutarate
YDR111C	YGR019W	2-oxoglutarate
YDR111C	YHR208W	2-oxoglutarate
YDR111C	YIL116W	2-oxoglutarate
YDR111C	YIL125W	2-oxoglutarate
YDR111C	YIR034C	2-oxoglutarate
YDR111C	YJR148W	2-oxoglutarate
YDR111C	YKL106W	2-oxoglutarate
YDR111C	YLR027C	2-oxoglutarate
YDR111C	YLR089C	2-oxoglutarate
YDR111C	YLR174W	2-oxoglutarate
YDR111C	YNL009W	2-oxoglutarate
YDR111C	YNL037C	2-oxoglutarate
YDR111C	YOL140W	2-oxoglutarate
YDR111C	YOR136W	2-oxoglutarate
YDR111C	YOR184W	2-oxoglutarate
YDR111C	YOR375C	2-oxoglutarate
YGR019W	YHR208W	2-oxoglutarate
YGR019W	YIL116W	2-oxoglutarate
YGR019W	YIL125W	2-oxoglutarate
YGR019W	YIR034C	2-oxoglutarate
YGR019W	YJR148W	2-oxoglutarate
YGR019W	YKL106W	2-oxoglutarate
YGR019W	YLR027C	2-oxoglutarate
