"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YLR311C"	-0.249	-0.367	-0.232	0.38	-0.627	1.47	2.503
"YNL134C"	0.172	0.218	0.047	0.309	0.516	2.516	2.503
"YGR008C"	-0.001	0.129	0.483	1.388	1.485	2.943	2.5
"YIR039C"	-0.27	-1.566	0.916	1.33	1.162	2.328	2.498
"YKL148C"	0.006	0.222	0.45	0.555	1.532	2.339	2.498
"YLR345W"	-0.114	0.185	0.197	0.997	1.452	2.233	2.483
"YGR244C"	0.081	0.235	0.767	1.176	1.947	2.593	2.48
"YNL144C"	-0.567	-0.256	-0.178	0.353	0.958	2.383	2.47
"YPL087W"	0.122	0.319	1.311	1.351	1.523	2.755	2.459
"YGR142W"	-0.216	0.022	0.121	0.389	1.058	1.997	2.436
"NORF 4"	0.251	0.053	0.285	0.745	0.701	1.995	2.422
"YLR178C"	-0.148	-0.064	-0.148	0.996	1.564	3.177	2.411
"YBR169C"	0.066	-0.071	-0.018	0.866	1.106	2.585	2.411
"YML120C"	-0.136	-0.324	-0.319	0.369	0.932	1.875	2.406
"YMR297W"	0.258	0.77	1.027	1.425	1.697	1.82	2.394
"YPL223C"	-0.083	-0.115	-0.117	0.311	0.28	1.748	2.391
"YLR299W"	-0.131	0.177	-0.172	0.431	1.218	1.747	2.378
"YER158C"	-0.166	0.125	1.068	1.177	1.446	1.549	2.378
"YFR033C"	0.132	-0.02	-0.065	0.522	0.912	2.538	2.376
"YPR030W"	-0.337	-0.003	-0.254	-0.323	-0.143	1.301	2.367
"YGR250C"	0.363	0.186	0.511	0.637	1.15	1.652	2.358
"YJL137C"	-0.03	-0.056	0.16	0.315	0.48	1.46	2.346
"YML100W"	0.366	0.295	-0.021	1.279	1.443	1.761	2.341
"YMR110C"	0.1	0.37	0.239	0.582	1.128	2.401	2.339
"YJL161W"	0.054	-0.021	0.023	0.493	0.508	2.18	2.331
"YPL262W"	0.092	0.064	-0.14	0.133	0.186	1.091	2.329
"YER079W"	-0.39	-0.588	0.153	0.411	0.722	1.939	2.328
"NORF 46"	-0.247	0.11	0.042	0.684	1.07	0.845	2.328
