"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YOR124C"	-0.033	0.162	0.066	0.607	0.84	0.763	0.221
"YKR070W"	0.138	0.424	0.053	0.266	0.528	0.256	0.219
"YFL025C"	0.062	0.407	0.319	0.15	0.011	-0.279	0.219
"YFR026C"	-0.246	0.176	-0.156	0.01	0.448	0.745	0.219
"YCR049C"	-0.483	-0.291	-0.472	-0.291	-0.123	0.292	0.219
"YGR235C"	0.031	-0.138	-0.189	-0.327	-0.191	0.709	0.218
"YPL278C"	0.044	-0.007	-0.195	0.096	0.064	-0.02	0.218
"YJR018W"	-0.499	-0.157	-0.359	-0.37	-0.21	0.149	0.218
"YMR281W"	0.156	0.159	-0.044	-0.033	-0.127	0.611	0.218
"YJL071W"	0.211	0.203	-0.053	-0.223	-0.662	-0.074	0.218
"YBR113W"	0.119	0.472	-0.195	-0.128	-0.526	-0.496	0.217
"YER153C"	-0.748	-0.603	-0.182	-0.424	-0.64	0.735	0.217
"YDL087C"	-0.126	-0.095	-0.199	0.317	-0.022	0.142	0.217
"YLR402W"	-0.084	-0.104	-0.38	-0.246	-0.213	-0.103	0.217
"YLR059C"	0.054	-0.1	-0.214	-0.051	-0.048	0.046	0.217
"E. COLI #36"	-0.056	0.804	-0.177	-0.23	-0.722	-0.013	0.217
"YDR151C"	-0.292	-0.437	-0.89	-0.764	-0.4	0.382	0.217
"YGR033C"	0.165	-0.128	0.211	0.115	0.267	0.527	0.216
"YDR437W"	0.081	0.512	-0.027	0.008	-0.071	-0.241	0.216
"YOL081W"	-0.087	0.091	0.098	-0.144	-0.088	-0.48	0.216
"YDR469W"	-0.116	0.052	0.017	-0.203	0.124	0.085	0.216
"YGL071W"	0.043	0.153	-0.132	0.084	-0.035	-0.257	0.216
"YDR159W"	0.175	0.209	-0.126	-0.258	-0.104	-0.181	0.216
"YBR217W"	-0.326	0.188	0.345	0.269	-0.31	0.369	0.215
"GENOMIC 0.25X"	0.15	0.469	-0.015	0.144	0.072	0.115	0.215
"YEL049W"	0.112	0.413	-0.108	-0.131	-0.081	-0.065	0.215
"YFL048C"	-0.192	-0.295	0.204	0.267	0.177	0.706	0.215
"YJL060W"	-0.079	0.064	0.457	0.338	0.189	0.559	0.215
"YLR277C"	0.096	0.019	0.157	0.116	0.213	-0.199	0.214
"YMR003W"	-0.247	-0.169	0.093	0.17	0.182	0.505	0.214
"YOL023W"	-0.415	-0.688	-0.14	-0.042	0.145	0.664	0.213
"YGR221C"	-0.133	0.068	0.014	-0.097	-0.304	0.812	0.213
"YPR024W"	0.015	0.13	-0.479	-0.152	-0.474	-0.485	0.213
"YNL172W"	-0.132	0.138	0.032	0.043	0.348	-0.126	0.213
"YMR233W"	-0.486	-0.444	0.36	-0.19	-0.471	0.574	0.212
"YIL086C"	-0.089	-0.04	-0.253	-0.086	-0.177	-0.297	0.212
"YPL161C"	-0.191	0.165	-0.354	-0.199	-0.94	-0.271	0.212
"YBR289W"	0.244	0.759	-0.071	0.025	-0.098	0.004	0.211
"YML095C"	0.104	0.093	-0.237	-0.219	0.079	0.119	0.21
"YJL070C"	0.175	0.243	-0.013	0.116	0.186	-0.027	0.21
"YPL108W"	-0.129	-0.396	0.135	-0.088	-0.208	0.486	0.21
"YKL180W"	0.09	0.147	-0.118	0.086	0.305	0.404	0.21
"YDR498C"	-0.149	0.035	0.176	-0.127	-0.052	0.853	0.21
"YDR499W"	0.025	0.091	0.283	-0.333	-0.112	-0.523	0.21
"YOR358W"	-1.55	-1.932	-0.465	-0.791	-0.423	0.303	0.209
"YBR182C"	-0.496	-0.43	-0.041	-0.553	-0.423	0.479	0.209
"YER027C"	0.379	0.097	0.432	0.225	0.527	-0.049	0.208
"YPL059W"	0.081	-0.067	0.002	0.125	0.411	0.52	0.208
"YPL229W"	0.303	0.103	-0.066	-0.003	-0.214	-0.057	0.208
"YBR146W"	-0.014	0.769	-0.407	0.095	-0.125	0.624	0.208
"YER012W"	0.195	-0.223	0.21	-0.063	0.061	0.633	0.208
"YNL118C"	0.188	0.243	0.162	0.267	0.343	-0.011	0.208
"YPR046W"	-0.272	0.232	-0.116	0.004	0.125	-0.292	0.207
"YHR083W"	0.224	0.261	0.234	-0.033	0.095	0.269	0.207
"YOR262W"	0.01	-0.223	0.245	-0.104	-0.701	0.669	0.207
"YMR218C"	-0.006	0.118	0.227	0.283	0.427	0.536	0.207
"YPL124W"	-0.23	-0.501	-0.05	-0.001	0.032	0.556	0.207
"YGR169C"	-0.463	-0.318	0.251	-0.02	0.071	0.462	0.206
"YOL089C"	0.03	-0.072	-0.256	-0.257	-0.08	-0.147	0.206
"YLR176C"	-0.418	-0.045	-1.262	-0.941	-0.794	0.533	0.206
"YLR382C"	0.099	-0.2	-0.001	0.071	0.231	1.139	0.205
"YDR388W"	-0.104	-0.371	-0.28	0.169	-0.184	0.865	0.205
"YHR150W"	0.027	0.4	0.139	0.079	-0.033	0.535	0.205
"YLR118C"	0.194	0.125	0.015	0.358	0.333	0.724	0.205
"YER172C"	0.11	0.162	-0.111	-0.065	0.09	-0.119	0.205
"YDR162C"	-0.002	0.046	0.046	-0.193	-0.216	0.367	0.205
"YJR087W"	0.269	0.173	0.521	0.368	0.328	0.616	0.205
"YOR085W"	0.129	0.081	0.61	0.171	0.454	-0.03	0.205
"YCL028W"	-0.212	-0.233	0.141	0.067	0.037	0.376	0.205
"YNL184C"	-0.204	-0.077	-0.221	-0.195	0.271	0.315	0.205
"YKL020C"	-0.014	-0.206	-0.74	-0.75	-0.961	-0.398	0.205
"YER134C"	0.053	0.117	-0.126	-0.135	-0.05	-0.322	0.204
"YHR005C"	-0.111	-0.319	0.415	0.126	-0.476	0.616	0.204
"YML048W"	0.506	0.555	0.578	0.034	-0.151	0.529	0.204
"YHL026C"	0.082	0.564	-0.009	-0.493	-0.624	0.022	0.204
"YIR010W"	-0.118	-0.29	0.328	-0.225	-0.241	1.272	0.203
"YJL005W"	-0.01	-0.034	-0.204	0.058	0.332	-0.087	0.202
"YCL070/73C"	0.208	0.112	0.299	0.47	0.435	0.082	0.2
"YGL002W"	-0.074	-0.073	0.073	0.193	0.078	0.83	0.2
"YIL117C"	-0.023	0.145	-0.285	-0.29	-0.393	0.774	0.2
"YBR153W"	0.097	0.179	-0.019	-0.182	0.025	-0.231	0.2
"YDR356W"	-0.061	0.098	0.043	-0.135	0.248	-0.182	0.2
"YCR081W"	0.059	-0.083	-0.342	-0.172	-0.014	-0.097	0.2
"YNL259C"	-0.092	0.023	0.061	0.443	0.689	-0.016	0.199
"YDR116C"	-0.043	0.001	-0.231	0.042	-0.004	0.858	0.198
"YBR074W"	-0.154	0.049	0.481	0.264	-0.456	0.259	0.198
"YJL147C"	-0.254	0.039	-0.153	-0.195	0.273	0.551	0.198
"YHR136C"	-0.075	0.059	-0.063	-0.035	0.104	-0.131	0.198
"YGL118C"	-0.451	-0.627	-0.429	0.325	-0.503	0.66	0.197
"YFR056C"	-0.146	0.089	0.27	-0.462	-0.51	0.002	0.197
"YKR084C"	0.237	0.418	0.281	0.347	-0.271	0.548	0.197
"YGR084C"	0.013	0.049	0.059	0.063	0.126	0.505	0.196
"YOR095C"	0.036	0.05	0.083	-0.605	-0.699	-2.093	0.196
"YLL038C"	-0.104	-0.048	-0.193	-0.186	0.463	0.047	0.196
"YBR292C"	-0.192	-0.123	0.073	-0.101	-0.053	-0.25	0.196
"YKR005C"	-0.241	-0.577	-0.405	-0.146	-0.229	0.302	0.195
"YAR030C"	-0.343	0.662	-0.03	-0.064	-0.814	0.091	0.195
"YIL073C"	0.073	0.148	0.024	0.269	0.086	0.453	0.195
"NORF 81"	0.225	0.251	0.05	0.126	-0.229	-0.822	0.194
"YKR055W"	0.167	-0.22	-0.228	-0.138	-0.29	0.565	0.193
"YKL014C"	0.081	0.334	-0.09	0.026	-0.004	0	0.193
"YPR096C"	-0.054	-0.02	-0.256	-0.067	-0.185	-0.242	0.193
"E. COLI #10"	-0.013	0.88	-0.009	0.144	-0.001	0.14	0.192
"YGL167C"	0.295	0.418	0.307	-0.046	0.071	-0.435	0.192
"YCR067C"	0.048	0.617	-0.085	-0.114	0.095	-0.566	0.191
"YDR485C"	-0.131	0.218	-0.226	-0.562	-0.532	-0.279	0.191
"YKR034W"	-0.037	-0.264	0.521	-0.035	-0.304	0.276	0.191
"YER167W"	0.203	0.477	0.143	0.164	-0.054	0.359	0.191
"YGR114C"	-0.055	0.202	0.024	0.238	0.14	0.148	0.191
"NORF 42"	-0.349	-0.322	-0.414	-0.262	-0.122	-0.391	0.191
"YMR263W"	-0.461	-0.179	0.282	0.198	-0.133	0.618	0.19
"YER080W"	0.05	-0.028	0.128	0.08	0.043	0.403	0.19
"YGL034C"	0.025	0.525	-0.024	0.022	-0.128	-0.484	0.19
"YOL058W"	-0.285	-0.036	-0.062	-0.051	0.213	0.026	0.19
"YPR134W"	-0.143	-0.03	0.146	0.101	0.261	0.496	0.189
"YGR018C"	0.13	0.049	0.077	0.279	0.284	0.253	0.189
"YBR299W"	0.062	0.072	-0.016	0.018	-0.192	0.25	0.189
"EMPTY"	0	0	0.335	0.198	1.743	-0.194	0.189
"YHR058C"	-0.125	-0.231	-0.278	-0.215	-0.057	0.141	0.189
"YLR410W"	0.229	0.228	-0.324	-0.049	-0.052	0.225	0.189
"GENOMIC 1X"	0.336	0.327	0.109	0.143	0.276	-0.098	0.189
"YNL278W"	0.018	0.041	-0.111	0.053	-0.072	-0.15	0.189
"GENOMIC 0.5X"	0.349	0.301	0.022	0.191	0.151	-0.12	0.189
"YMR257C"	0.104	-0.209	-0.419	-0.316	-0.325	0.16	0.189
"YPL272C"	-0.212	-0.154	-0.551	-0.403	-0.335	-0.423	0.189
"YPL169C"	0.267	0.177	0.265	-0.298	-0.151	-0.071	0.188
"YKR087C"	0.037	0.13	-0.306	-0.225	-0.107	0.438	0.188
"YDR164C"	-0.04	0.146	0.2	-0.104	-0.752	0.39	0.187
"YJR128W"	-0.391	-0.942	0.309	-0.103	-0.641	0.671	0.187
"EMPTY"	-0.172	0.066	-0.195	0.005	-0.216	-1.099	0.186
"YCR008W"	0.251	0.312	0.214	0.101	0.212	0.295	0.186
"YML105C"	0.205	0.228	0.494	0.106	0.138	0.792	0.186
"YBR097W"	0.098	0.423	-0.005	-0.016	-0.281	0.188	0.185
"YGR180C"	0.608	0.275	0.52	0.152	0.353	0.908	0.185
"YER029C"	0.16	0.232	-0.128	-0.182	0.349	0.514	0.185
"YKR030W"	0.27	0.227	0.264	0.293	0.347	0.441	0.185
"YGR072W"	-0.065	-0.016	0.038	-0.308	0.044	0.225	0.185
"YML020W"	0.061	-0.156	-0.082	-0.101	-0.251	1.143	0.184
"YLR015W"	-0.037	0.061	0.283	0.028	0.006	0.617	0.184
"YLR338W"	-0.391	-0.688	-0.81	-0.345	-0.385	0.931	0.184
"YIL023C"	-0.015	-0.208	-0.197	0.072	0.192	0.311	0.184
"YML015C"	0.076	-0.046	0.267	0.022	-0.292	1.302	0.184
"YCR027C"	0.309	0.152	0.04	0.202	0.186	0.622	0.184
"YIL150C"	-0.303	-0.617	0.251	-0.289	-0.208	0.949	0.184
"YOL161C"	0.343	0.354	0.062	0.009	-0.023	-0.038	0.184
"YKL164C"	0.367	0.28	0.18	0.265	0.126	0.354	0.184
"YKL071W"	-0.138	-0.202	-0.164	-0.01	-0.102	-0.433	0.183
"GENOMIC 1X"	0.165	0.272	0.046	0.429	0.143	-0.211	0.183
"YGL140C"	-0.255	-0.052	0.1	0.234	-0.012	0.07	0.183
"YPR075C"	0.062	0.454	0.345	0.062	0.258	0.303	0.183
"YNL136W"	-0.278	-0.288	-0.202	-0.173	-0.414	0.207	0.182
"YKR021W"	0.06	-0.093	-0.627	-0.299	-0.267	-0.131	0.182
"YHR151C"	0.209	0.22	0.467	-0.038	-0.158	0.441	0.181
"E. COLI #35"	0.18	0.81	0.036	-0.002	-0.859	-0.051	0.181
"YOL085C"	-0.467	-0.245	-0.381	-0.225	0.027	-0.483	0.181
"YPR010C"	-0.134	0.085	-0.246	-0.311	-0.24	-0.301	0.181
"YKL225W"	-0.047	-0.131	-0.267	0.069	-0.118	-0.368	0.181
"YLR067C"	-0.332	-0.209	-0.334	-0.206	-0.206	-0.078	0.181
"YCLX12W"	0.159	0.58	0.284	0.053	-0.102	0.235	0.181
"YDR483W"	0.536	0.399	0.583	-0.12	0.112	-0.256	0.18
"YKL053W"	-0.433	-0.367	-0.301	-0.285	0.409	0.267	0.18
"YGR295C"	0.103	0.189	0.303	0.721	0.915	0.756	0.18
"YOL060C"	0.006	-0.062	-0.428	-0.069	-0.099	-0.119	0.179
"YMR151W"	-0.248	-0.687	-0.285	0.019	-0.28	0.618	0.179
"YBL012C"	0.134	0.244	-0.255	-0.006	0.235	-0.178	0.178
"YDR295C"	-0.065	0.117	-0.097	0.042	0.127	0.012	0.178
"YKL032C"	0.031	-0.149	-0.275	-0.616	-0.224	-0.091	0.178
"YOR308C"	-0.592	-0.198	0.359	-0.038	0.217	0.459	0.177
"YGR278W"	0.061	-0.077	0.231	0.154	0.095	0.446	0.177
"YDR328C"	0.021	-0.005	0.141	0.408	0.6	1.117	0.176
"YLR181C"	0.134	-0.005	0.355	0.049	-0.066	0.693	0.176
"YDL068W"	0.034	0.046	-0.139	0.205	-0.011	0.195	0.176
"YLR434C"	-0.052	-0.309	-0.261	-0.176	-0.157	0.248	0.176
"YKL042W"	-0.192	0.027	-0.173	-0.303	-0.222	-0.522	0.176
"YOR249C"	-0.024	-0.177	-0.034	-0.27	-0.145	0.409	0.175
"YDR518W"	-0.154	-0.005	0.052	-0.145	0.134	0.071	0.175
"YOR354C"	-0.107	-0.079	-0.222	0.217	0.394	0.628	0.175
"YJL156C"	-0.091	-0.186	-0.073	-0.176	-0.112	0.234	0.175
"YLR348C"	-0.288	-0.024	-0.166	-0.201	-0.023	0.392	0.174
"YKL131W"	0.169	0.169	0.303	0.019	-1.03	0.277	0.174
"YMR082C"	-0.465	-0.019	-0.285	-0.224	-0.068	0.058	0.174
"YJL104W"	-0.007	0.225	0.218	0.564	0.593	0.922	0.174
"YKR088C"	0.119	0.26	0.318	0.516	0.673	0.293	0.173
"YMR209C"	-0.299	-0.309	0.257	0.042	-0.138	0.313	0.173
"YKL136W"	0.071	0.012	0.016	0.286	0.294	0.41	0.173
"YNL337W"	-0.049	-0.093	-0.11	0.023	-0.105	-0.206	0.172
"YHL030W"	0.018	0.344	-0.189	0.083	0.003	-0.367	0.172
"YJL097W"	0.186	0.205	0.364	0.455	0.641	0.473	0.172
"YIL132C"	-0.583	-0.657	0.012	-0.04	-0.318	0.735	0.172
"YNL008C"	-0.148	-0.087	-0.335	-0.147	-0.253	-0.433	0.171
"YPR022C"	-0.018	-0.037	-0.433	-0.234	-0.338	-0.453	0.171
"YGR080W"	-0.13	-0.327	-0.391	-0.282	0.19	0.786	0.171
"YPL236C"	-0.011	0.062	-0.083	-0.006	0.051	0.032	0.171
"YML130C"	0.363	0.316	-0.072	-0.07	0.3	0.275	0.171
"YPR077C"	-0.378	-0.231	-0.222	-0.089	-0.147	0.457	0.17
"YFL036W"	-0.164	-0.489	-0.633	0.377	0.113	0.648	0.17
"NORF 26"	-0.262	-0.015	-0.113	0.215	-0.238	-0.061	0.17
"NORF 90"	0.021	-0.028	-0.133	-0.139	0.176	-0.122	0.17
"YLL018C"	0.236	0.234	-0.193	-0.199	-0.11	-0.142	0.17
"YDL080C"	-0.165	0.589	0.016	0.081	-0.402	-0.081	0.17
"YPR168W"	-0.183	-0.02	-0.087	-0.069	-0.181	-0.255	0.17
"YDL231C"	0.045	0.23	-0.281	-0.143	-0.053	-0.386	0.169
"YCRX08W"	-0.031	0.821	0.206	0.175	-0.554	-0.158	0.169
"YKR085C"	-0.079	-0.041	0.083	0.247	0.623	0.699	0.169
"YNL038W"	-0.246	-0.081	-0.048	0.148	0.114	-0.14	0.169
"YOR148C"	0.032	-0.031	0.027	0.168	-0.05	0.195	0.169
"YAL010C"	-1.079	-0.013	-0.083	-0.586	-1.264	0.471	0.169
"YJL139C"	0.067	0.183	0.269	0.051	-0.078	0.533	0.168
"YCR041W"	-0.045	0.627	0.156	-0.052	-0.151	-0.279	0.168
"YER128W"	-0.261	-0.311	-0.227	-0.328	-0.263	0.244	0.168
"YLR071C"	0.139	0.093	-0.198	-0.183	-0.041	0.092	0.168
"YKR068C"	0.247	0.246	0.051	0.18	0.199	0.12	0.168
"YBR020W"	0.343	0.218	0.229	0.292	0.215	0.546	0.168
"YOR194C"	0.155	-0.06	0.06	0.021	0.133	0.526	0.167
"YLR127C"	0.099	-0.098	-0.01	0.233	-0.282	0.551	0.166
"YDR451C"	0.25	0.109	0.409	0.57	-0.128	0.262	0.166
"NORF 30"	-0.056	0.025	-0.122	0.022	-0.101	-0.119	0.166
"YML097C"	0.226	0.084	0.27	-0.042	-0.235	0.404	0.166
"YJR102C"	-0.472	-1.015	-0.045	0.12	-0.219	0.732	0.166
"YHL006C"	-0.045	-0.022	-0.083	-0.181	-0.063	-0.219	0.165
"YKL143W"	0.033	0.084	0.582	-0.61	-0.854	0.235	0.165
"YHR106W"	0.238	0.208	0.005	0.033	0.184	0.438	0.165
"YDR099W"	0.687	0.45	0.173	0.117	0.125	0.271	0.164
"YLR031W"	0.003	0.293	-0.024	0.102	-0.357	0.188	0.164
"YJL167W"	0.533	0.462	0.618	0.348	0.183	0.366	0.164
"YOR266W"	-0.163	0.023	-0.016	0.27	0.081	0.531	0.163
"YDR039C"	0.197	0.197	-0.231	-0.297	-0.423	-1.602	0.163
"YJR035W"	0.057	-0.075	0.083	0.113	0.13	0.483	0.163
"YPL047W"	-0.066	0.173	-0.005	0.123	-0.184	-0.286	0.163
"YLR368W"	-0.174	-0.288	-0.294	-0.061	0.351	0.646	0.163
"YLR141W"	-0.369	-0.424	-0.761	0.071	-0.117	0.105	0.163
"YJL086C"	-0.163	-0.461	-0.128	-0.132	-0.051	0.618	0.163
"YPL250C"	-0.317	-0.243	-0.578	-0.187	-0.068	-0.035	0.163
"YEL035C"	-0.38	0.126	-0.359	-0.132	-0.787	0.027	0.162
"YNL314W"	-0.054	-0.019	0.008	-0.278	-0.082	-0.392	0.161
"YEL056W"	-0.234	-0.143	0.292	-0.014	-0.527	0.683	0.161
"YOL038W"	0.178	0.163	0.33	0.134	0.212	0.729	0.161
"YKL001C"	0.041	0.289	-0.181	-0.088	0.109	-0.134	0.161
"YHR094C"	0.608	0.627	0.59	0.284	0.089	0.306	0.161
"YLL033W"	-0.088	0.156	0.138	0.081	0.03	0.33	0.16
"YDR290W"	0.002	-0.125	-0.101	-0.228	-0.246	0.388	0.16
"YDR066C"	-0.242	-0.097	0.086	0.335	0.018	0.687	0.159
"YNL307C"	0.134	0.266	0.477	0.624	0.753	0.689	0.159
"YKL114C"	0.092	0.738	0.239	0.086	0.067	0.331	0.159
"YNL130C"	0.134	0.308	0.442	0.567	0.566	0.112	0.158
"YBR235W"	0.07	0.354	-0.162	0.036	-0.476	-0.295	0.158
"GENOMIC 1X"	0.224	0.172	-0.075	0.085	0.211	-0.184	0.158
"YLR148W"	-0.091	-0.174	-0.083	0.222	0.085	0.168	0.158
"YLR094C"	0.071	-0.306	-0.934	-0.536	-0.443	-0.007	0.158
"YOR379C"	-0.19	-0.201	-0.353	-0.129	-0.054	0.109	0.157
"YBL093C"	0.16	0.43	-0.188	-0.09	-0.135	0.222	0.157
"YDR325W"	-0.028	0.168	0.243	0.137	0.419	-0.417	0.157
"YDR487C"	0.057	0.308	0.436	-0.015	0.379	-0.097	0.157
"YOR325W"	-0.195	-0.211	-0.024	0.47	-0.187	0.052	0.156
"YPR199C"	0.021	0.275	-0.233	-0.031	0.017	0.869	0.156
"EMPTY"	0.103	0.515	-0.747	-0.132	-1.907	-2.482	0.156
"YEL017W"	0.103	0.253	0.694	0.589	0.495	0.368	0.156
"YCL032W"	-0.445	-0.555	0.07	0.254	0.034	0.93	0.156
"YMR243C"	0.142	0.197	0.632	0.028	0.046	-0.584	0.156
"YPL132W"	0.165	-0.035	-0.046	0.173	0.296	0.583	0.156
"YEL058W"	-0.407	0.109	0.605	0.121	-0.242	0.806	0.156
"YDR482C"	-0.103	0.218	0.027	-0.028	0.16	0.312	0.155
"YLL003W"	-0.4	-0.29	-0.383	-0.26	0.155	-0.22	0.155
"YLR383W"	0.072	0.214	0.482	0.386	0.534	0.314	0.155
"YOL095C"	0.254	-0.184	0.111	-0.285	-0.351	0.839	0.154
"YCR098C"	-1.216	-1.108	-0.22	-0.579	-0.65	0.334	0.154
"YFR025C"	0.177	0.43	0.112	0.03	-0.186	0.399	0.153
"YML055W"	0.076	0.164	0.126	0.31	0.508	0.008	0.153
"YGR267C"	0.25	0.057	0.072	-0.109	0.288	0.389	0.153
"YGL223C"	-0.116	0.055	0.026	-0.429	-0.666	0.509	0.153
"YJL223C"	0.112	0.192	-0.104	-0.155	0.057	0.062	0.152
"YDL224C"	0.052	-0.285	0.207	-0.212	-0.534	0.061	0.152
"YBR201W"	-0.354	-0.57	0.019	0.132	-0.108	0.673	0.151
"YHR031C"	-0.34	-0.602	0.928	-0.175	-0.73	0.691	0.15
"YPR038W"	-0.396	-0.135	-0.262	-0.216	-0.166	0.042	0.15
"YLR236C"	-0.537	-0.816	-0.585	-0.406	-0.434	0.036	0.149
"YKR078W"	0.258	0.024	0.109	0	-0.067	0.3	0.149
"YOL141W"	-0.143	0.02	0.168	-0.872	-1.386	0.33	0.149
"YBL070C"	-0.22	0.919	-0.509	-0.397	-0.485	-0.65	0.149
"YGL240W"	-0.615	0.423	-0.201	-0.5	-0.61	0.23	0.148
"YNL279W"	-0.11	-0.213	0.215	-0.134	-0.392	0.494	0.148
"YCL021W"	-0.134	0.066	-0.216	-0.108	-0.284	-0.272	0.148
"YNL258C"	-0.223	0.106	-0.072	0.175	0.332	0.065	0.148
"YOR367W"	0.002	-0.111	-0.121	0.268	0.267	0.546	0.148
"YMR315W"	0.135	0.191	0.098	0.54	0.618	0.157	0.148
"YCR024C-A"	0.022	-0.129	-0.12	0.061	0.031	-0.064	0.148
"YPR094W"	0.062	0.065	0.137	0.069	0.153	0.261	0.147
"YPL224C"	-0.065	-0.007	0.053	-0.336	0.103	0.079	0.147
"YNL017C"	-0.477	-0.548	-0.402	-0.159	-0.432	0.321	0.146
"YJR017C"	-1.067	-0.535	-0.129	-0.43	0.095	0.601	0.146
"YJL035C"	-0.536	-0.922	0.22	-0.169	-0.063	0.542	0.146
"YDL138W"	-0.172	0.069	-0.273	-0.299	-0.749	-0.436	0.146
"YLR403W"	0.007	-0.116	-0.488	-0.96	-0.531	-0.873	0.145
"YDR489W"	-0.016	0.105	-0.103	-0.398	-0.255	-0.578	0.145
"YGR117C"	-0.108	-0.338	-0.047	-0.189	-0.191	-0.111	0.145
"YKL207W"	0.559	0.444	0.693	0.308	0.383	0.426	0.145
"EMPTY"	0.943	0	-0.066	0.095	0	-0.187	0.144
"YBL055C"	-0.978	-0.9	0.558	-0.189	-0.397	0.471	0.144
"YCL002C"	-0.167	0.186	0.268	0.106	0.112	-0.06	0.144
"YNL025C"	-0.107	0.04	-0.545	-0.441	-0.736	0.329	0.144
"YPR197C"	0.093	0.023	0.206	0.332	0.272	-0.5	0.144
"YMR103C"	-0.159	0.221	-0.036	-0.059	-0.021	-0.086	0.143
"YJL175W"	-0.008	-0.141	-0.407	-0.061	-0.025	0.997	0.143
"YLR433C"	0.176	0.315	0.077	-0.397	-0.128	-0.611	0.143
"YBR232C"	0.199	0.46	-0.355	-0.255	-0.444	-0.271	0.142
"YDR150W"	0.165	0.294	0.01	-0.031	0.014	-0.613	0.142
"YJR089W"	-0.035	-0.003	-0.205	-0.145	-0.629	0.389	0.142
"YDR534C"	0.009	-0.33	-0.312	-0.47	-0.042	0.192	0.142
"YMR177W"	-0.141	-0.87	0.043	-0.183	-0.232	0.758	0.142
"YMR063W"	-0.259	-0.372	-0.482	-0.049	-0.324	-0.331	0.141
"YHL019C"	-0.452	0.394	0.142	0.11	-0.162	0.675	0.141
"YIL174W"	-0.272	-0.421	-0.253	-0.609	-0.84	0.567	0.141
"YNL158W"	0.187	0.007	-0.233	-0.052	0.033	-0.131	0.14
"YDL017W"	0.243	0.372	0.494	0.378	0.597	0.378	0.14
"YDR264C"	0.266	0.433	0.28	0.121	0.282	0.008	0.139
"YDR139C"	0.099	0.176	0.44	0.386	0.309	0.579	0.139
"YKL041W"	-0.117	-0.059	-0.277	-0.096	-0.072	0.622	0.139
"YPL083C"	-0.069	0.08	0.404	0.063	0.318	0.49	0.139
"YEL045C"	-0.442	-0.253	-0.482	-0.5	-0.599	-0.185	0.139
"YDR269C"	-0.074	-0.036	-0.375	-0.262	-0.41	0.373	0.138
"YNL254C"	0.111	0.096	0.08	-0.132	-0.539	-0.019	0.138
"YBR064W"	-0.575	-1.02	-0.104	-0.304	-0.467	0.596	0.138
"YPR183W"	-0.136	0.271	0.557	0.175	0.76	1.344	0.138
"YDR339C"	0.052	0.132	0.008	-0.1	0.08	0.367	0.138
"YDR188W"	-0.152	0.115	0.666	-0.104	-0.408	0.535	0.138
"YGL124C"	-0.006	0.036	0.174	0.008	0.027	0.366	0.137
"YOR296W"	-0.161	-0.25	-0.321	0.165	-0.034	0.645	0.137
"YCL024W"	-0.452	-0.255	-0.064	0.052	0.037	0.367	0.137
"YDL162C"	-0.167	-0.105	-0.325	-0.093	-0.273	-0.22	0.137
"YHR060W"	0.001	-0.025	-0.099	-0.057	0.322	0.389	0.136
"YBR211C"	-0.372	-0.303	-0.167	0.034	-0.325	0.554	0.136
"YPL215W"	0.01	0.152	-0.066	0.096	-0.119	-0.321	0.136
"YDR284C"	-0.051	-0.081	0.692	0.376	0.337	0.765	0.136
"YDR344C"	-0.274	-0.63	-0.155	0.109	-0.251	0.762	0.136
"YDL090C"	-0.07	0.012	-0.258	-0.139	-0.267	0.102	0.135
"YNL171C"	-0.271	-0.224	-0.499	-0.142	-0.538	0.007	0.135
"YOR024W"	-0.097	-0.075	-0.179	-0.041	-0.026	-0.194	0.135
"YDR424C"	-0.113	-0.315	-0.054	0.345	0.279	0.643	0.135
"YOR264W"	0.157	0.038	0.4	0.253	0.169	0.721	0.135
"YBR165W"	-0.167	-0.177	-0.408	-0.229	-0.371	0.229	0.135
"YNL088W"	-0.007	0.103	-0.113	-0.01	-0.208	-0.187	0.134
"YLR235C"	-0.147	0.083	-0.263	-0.168	-0.12	-0.298	0.133
"YBR253W"	-0.138	-0.424	0.052	0.031	-0.049	0.539	0.133
"YBR030W"	-0.584	-0.758	0.21	-0.263	-0.5	-0.001	0.132
"E. COLI #40"	0.061	0.586	-0.064	-0.009	-0.132	0.057	0.132
"YJL011C"	-0.367	-0.449	0.071	-0.267	-0.26	0.014	0.132
"YKR053C"	-0.133	-0.381	0.096	-0.123	-0.26	0.466	0.132
"YBR131W"	-0.143	-0.14	0.258	-0.169	0.204	0.032	0.132
"YHR024C"	0.256	0.371	0.286	-0.095	-0.189	0.369	0.132
"YKR104W"	0.182	0.107	-0.13	-0.063	0.424	-0.217	0.132
"YOR292C"	0.149	0.34	0.334	0.222	0.12	0.444	0.131
"YLR334C"	-0.05	-0.255	-0.249	0.024	-0.332	0.079	0.131
"YER169W"	0.036	0.231	-0.693	-0.34	-0.527	-0.097	0.131
"YHR121W"	0.074	-0.248	0.258	0.396	0.367	0.28	0.131
